#,Ítem,Nick,Ciudad / Región,Restricciones en el envío
57,Time's Up! Game Geek Expansion - Sin jugar.,mymenda,Huelva y Sevilla,kiala o similar
58,Trains and Stations - En perfectas condiciones,mymenda,Huelva y Sevilla,kiala o similar
59,"Un Mundo Sin Fin - Pocas partidas, casi como nuevo",mymenda,Huelva y Sevilla,kiala o similar
60,VOC! Founding the Dutch East Indies Company - En perfecto estado,mymenda,Huelva y Sevilla,kiala o similar
61,PACK: Cajas pequeñas Asante (Pocas partidas.) + Divinare (Sin jugar.),mymenda,Huelva y Sevilla,kiala o similar
62,Magestorm. Muy buen estado. Tablero de puntuación con doblez. Tapa desgastada por abajo.,Almostel,Santiago de Compostela,prefiere kiala
63,"Imperial 2030 - 1ª ed. inglés (2009). Sin jugar, en perfecto estado.",Hunthor de Brethil,Santiago de Compostela,prefiere kiala
64,"Might & Magic Heroes: The Board Game - Unas cinco partidas, en perfecto estado.",Hunthor de Brethil,Santiago de Compostela,prefiere kiala
65,"Planet Steam - Una partida, en perfecto estado, pequeños roces de estantería.",Hunthor de Brethil,Santiago de Compostela,prefiere kiala
66,"Señor de los Anillos - Procedente de Mathtrade, en buen estado.",Hunthor de Brethil,Santiago de Compostela,prefiere kiala
67,"The Doom That Came To Atlantic City - Sin jugar, perfecto estado.",Hunthor de Brethil,Santiago de Compostela,prefiere kiala
68,"¡Rescate! - Unas cinco partidas, en perfecto estado.",Hunthor de Brethil,Santiago de Compostela,prefiere kiala
69,"PACK: Comercio Antiguo. Constantinopolis (Edge, 2010. Español/francés. Sin jugar, en perfecto estado.) + Il Vecchio (Ed. 2013 en Inglés/Alemán. Sin desprecintar.)",Hunthor de Brethil,Santiago de Compostela,prefiere kiala
70,"PACK: Euros de nota! De Vulgari Eloquentia (HomoLudicus, 2010. Español. Una partida, en perfecto estado.) + Fortuna (1ª ed. multilenguaje (2011) incl. español. Sin jugar, en perfecto estado.) + League of Six (Ed. 2008, Inglés. Sin jugar, en perfecto estado.)",Hunthor de Brethil,Santiago de Compostela,prefiere kiala
71,"PACK: Fillers Ciudadelas (Edge 2010, español con la expansión Ciudad Oscura. Unas cuantas partidas a sus espaldas, pero en buen estado.) + Cubulus (1ª Ed. Multilenguaje, inc. Español. Sin jugar, en perfecto estado.) + Dados Zombie (1ª ed., español. Un par de partidas. El cubilete tiene pequeños roces de estantería.) + Terra Nova (Edición en Finlandés (2006), independiente. Reglas traducidas. Un par de partidas, en buen estado. Una de las meeples vino coja! )",Hunthor de Brethil,Santiago de Compostela,prefiere kiala
72,"PACK: Follet Los Pilares de la Tierra (Devir, 2006. Español. Sin desprecintar.) + Los Pilares de la Tierra: El juego de Cartas (Devir, 2011. Español. Sin jugar, en perfecto estado.) + Un Mundo Sin Fin (Devir, 2010.Español. Sin desprecintar.)",Hunthor de Brethil,Santiago de Compostela,prefiere kiala
73,"PACK: Futuro Escape from the Aliens in Outer Space (Ed. Española-portuguesa 2011, caja negra. Una partida, en perfecto estado y con sólo cinco hojas usadas.) + The Ares Project (Primera edición inglesa, 2011. Sin estrenar, reglas con marcas de la lectura, venía con algunas cartas pegadas pero nada grave.)",Hunthor de Brethil,Santiago de Compostela,prefiere kiala
74,"PACK: Iniciados I Difference (2ª ed. Multilenguaje. Sin desprecintar.) + Pingüinos & Cia Deluxe! (Devir, 2008. Español. Unas cinco o seis partidas, en buen estado, pequeñas marcas de estantería.)",Hunthor de Brethil,Santiago de Compostela,prefiere kiala
75,"PACK: Iniciados II Agil'Up (Bioviva Edition 2008. Instrucciones multilenguaje. Una partida.) + Tales & Games: The Three Little Pigs (1ª ed. 2013. Inglés, independiente. Un par de partidas. En perfecto estado.)",Hunthor de Brethil,Santiago de Compostela,prefiere kiala
76,"PACK: Party Party & Co: Original (Diset, 2009. Español. Sin desprecintar.) + Scattergories (Hasbro Gaming, 2013 (red box). Español. Sin desprecintar.)",Hunthor de Brethil,Santiago de Compostela,prefiere kiala
77,Divinare,ryoga,,
78,Formule Dé - Solo 2 partidas,ryoga,,
79,La Villa - Solo un par de partidas,ryoga,,
80,Risk (Revised Edition) - Solo 2 partidas,ryoga,,
81,Star Trek: Catan,ryoga,,
